cycle_id,label,image,h,disk,pl,workload,c,rr,runtime_s,rps,ttft_mean,tpot_mean,latency_mean,gpu_block,ext_block,gpu_tok,ext_tok,compute_tok,overall_tok,g2c_GB,c2g_GB,bench_log_path,status
t1-01-baseline-default,baseline+default,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,0.5,174,10.62,1213,58.5,4080,3.01,41.62,6.6,38.9,54.5,45.5,4578,3248,/results/t1-01-baseline-default/bench.log,OK
t1-02-baseline-pl100,baseline+pl100,acc47dd9ee34,,,100,generate_multi_turn_longbench.json,64,0.5,171,10.83,1091,58.7,3965,3.62,43.16,7.7,39.8,52.5,47.5,4422,3342,/results/t1-02-baseline-pl100/bench.log,OK
t1-03-tunable-h075-pl1,tunable h=0.75 pl=1,8d2360fb4879,0.75,0.25,1,generate_multi_turn_longbench.json,64,0.5,136,13.25,890,41.1,2908,9.44,56.60,14.6,48.3,37.0,63.0,3036,3934,/results/t1-03-tunable-h075-pl1/bench.log,OK
t1-04-tunable-h075-pl100,tunable h=0.75 pl=100,8d2360fb4879,0.75,0.25,100,generate_multi_turn_longbench.json,64,0.5,93,20.23,269,19.5,1223,44.01,80.39,60.1,32.1,7.8,92.2,686,2725,/results/t1-04-tunable-h075-pl100/bench.log,OK
t1-05-tunable-h1-pl1,tunable h=1.0 pl=1,8d2360fb4879,1.0,0.25,1,generate_multi_turn_longbench.json,64,0.5,135,13.81,815,37.8,2669,9.44,61.25,13.4,53.1,33.6,66.4,2861,4489,/results/t1-05-tunable-h1-pl1/bench.log,OK
t1-06-tunable-h1-pl100,tunable h=1.0 pl=100,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,0.5,86,20.74,230,19.0,1161,38.97,83.18,59.8,33.4,6.8,93.2,568,2706,/results/t1-06-tunable-h1-pl100/bench.log,OK
t2-baseline-c8,baseline c=8,acc47dd9ee34,,,,generate_multi_turn_longbench.json,8,0.5,912,2.59,271,16.4,1076,79.18,9.57,79.2,2.0,18.8,81.2,2036,213,/results/t2-baseline-c8/bench.log,OK
t2-best-c8,best c=8,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,8,0.5,886,2.70,127,16.8,951,90.11,47.50,90.1,4.7,5.2,94.8,588,507,/results/t2-best-c8/bench.log,OK
t2-baseline-c16,baseline c=16,acc47dd9ee34,,,,generate_multi_turn_longbench.json,16,0.5,464,4.93,436,17.2,1280,54.25,29.26,54.3,13.4,32.4,67.6,3372,1383,/results/t2-baseline-c16/bench.log,OK
t2-best-c16,best c=16,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,16,0.5,416,5.49,131,16.9,961,89.65,47.62,89.7,4.9,5.4,94.6,584,507,/results/t2-best-c16/bench.log,OK
t2-baseline-c32,baseline c=32,acc47dd9ee34,,,,generate_multi_turn_longbench.json,32,0.5,255,8.27,628,24.6,1832,24.57,45.33,24.6,34.2,41.2,58.8,3966,3268,/results/t2-baseline-c32/bench.log,OK
t2-best-c32,best c=32,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,32,0.5,196,10.68,141,17.2,983,88.48,49.17,88.5,5.7,5.9,94.1,578,536,/results/t2-best-c32/bench.log,OK
t2-baseline-c64,baseline c=64,acc47dd9ee34,,,,generate_multi_turn_longbench.json,64,0.5,168,10.65,1190,58.7,4066,3.99,42.02,6.3,39.4,54.4,45.6,4430,3196,/results/t2-baseline-c64/bench.log,OK
t2-best-c64,best c=64,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,64,0.5,89,20.85,220,18.8,1139,44.78,82.76,62.0,31.5,6.6,93.4,570,2632,/results/t2-best-c64/bench.log,OK
t2-baseline-c96,baseline c=96,acc47dd9ee34,,,,generate_multi_turn_longbench.json,96,0.5,177,9.58,4022,79.7,7920,0.12,35.83,0.0,35.8,64.1,35.9,4961,2760,/results/t2-baseline-c96/bench.log,OK
t2-best-c96,best c=96,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,96,0.5,61,28.03,426,22.1,1506,7.51,90.89,22.6,70.4,7.1,92.9,565,5441,/results/t2-best-c96/bench.log,OK
t2-baseline-c128,baseline c=128,acc47dd9ee34,,,,generate_multi_turn_longbench.json,128,0.5,196,8.78,8140,88.2,12463,0.20,26.91,0.0,26.9,73.1,26.9,5674,2082,/results/t2-baseline-c128/bench.log,OK
t2-best-c128,best c=128,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,128,0.5,50,32.49,847,24.8,2066,1.11,92.29,3.8,88.8,7.4,92.6,562,6505,/results/t2-best-c128/bench.log,OK
t2-baseline-c192,baseline c=192,acc47dd9ee34,,,,generate_multi_turn_longbench.json,192,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t2-baseline-c192/bench.log,OK
t2-best-c192,best c=192,8d2360fb4879,1.0,0.25,100,generate_multi_turn_longbench.json,192,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t2-best-c192/bench.log,OK
t3-h0.75-pl10,tunable h=0.75 pl=10,8d2360fb4879,0.75,0.25,10,generate_multi_turn_longbench.json,64,0.5,94,18.53,369,23.7,1530,30.64,74.10,48.4,38.3,13.4,86.6,1080,3031,/results/t3-h0.75-pl10/bench.log,OK
t3-h1.0-pl10,tunable h=1.0 pl=10,8d2360fb4879,1.0,0.25,10,generate_multi_turn_longbench.json,64,0.5,84,20.41,228,19.1,1162,42.23,81.80,61.7,31.3,7.0,93.0,565,2452,/results/t3-h1.0-pl10/bench.log,OK
t3-h1.25-pl1,tunable h=1.25 pl=1,8d2360fb4879,1.25,0.25,1,generate_multi_turn_longbench.json,64,0.5,0,0.00,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.0,0,0,/results/t3-h1.25-pl1/bench.log,FAIL_NOREADY
